price_list_type,id,group_revision_id,unique_id,brand,brand_id,model,model_id,params,full_name,vehicle_type,vehicle_type_ua,vehicle_type_id,season,season_ua,season_id,width,height,diameter,load_index,load_index_with_desc,speed_index,speed_index_with_desc,country_manufacturer,country_manufacturer_ua,manufacture_year,reinforce,studded,homologation,run_flat,silent,seal,demo,provider_id,provider,city,city_ua,tt_provider,foreign_id,update_date,update_date_pts,in_stock,source_price_wholesale,source_price_wholesale_original,source_price_wholesale_original_currency,source_price_retail,user_price_wholesale,user_price,user_delivery_price,user_price_plus_user_delivery_price,offer_num,photo_file_name,photo_url,section_open_cart,size_only_digits
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,386361,386361,1000386361,Fulda,1359,Conveo Trac 3,11715,205/75 R16C 110/108R,Fulda Conveo Trac 3 205/75 R16C 110/108R,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р·РёРјРЅСЏСЏ,Р·РёРјРѕРІР°,2,205,75,16,110/108,110(1060РєРі)/108(1000РєРі),R,R(170РєРј/С‡Р°СЃ),РўСѓСЂС†РёСЏ,РўСѓСЂРµС‡С‡РёРЅР°,2022,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,16,3875,3875.00,uah,4354,3875,6229,0,6229,1,tyre/11715.400x400.jpg,tyre/11715.400x400.jpg,РЁРёРЅС‹,2057516
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,305912,305912,1000305912,Goodyear,1387,Cargo Marathon,1943,195/60 R16C 99/97H,Goodyear Cargo Marathon 195/60 R16C 99/97H,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,195,60,16,99/97,99(775РєРі)/97(730РєРі),H,H(210РєРј/С‡Р°СЃ),РўСѓСЂС†РёСЏ,РўСѓСЂРµС‡С‡РёРЅР°,2021,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,4,3595,3595.00,uah,4039,3595,5800,0,5800,1,tyre/1943.400x400.jpg,tyre/1943.400x400.jpg,РЁРёРЅС‹,1956016
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,261857,261857,1000261857,Goodyear,1387,Cargo Marathon,1943,235/65 R16C 115/113R,Goodyear Cargo Marathon 235/65 R16C 115/113R,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,235,65,16,115/113,115(1215РєРі)/113(1150РєРі),R,R(170РєРј/С‡Р°СЃ),РўСѓСЂС†РёСЏ,РўСѓСЂРµС‡С‡РёРЅР°,2021,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,13,4535,4535.00,uah,5095,4535,7239,0,7239,1,tyre/1943.400x400.jpg,tyre/1943.400x400.jpg,РЁРёРЅС‹,2356516
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,334614,334614,1000334614,Goodyear,1387,Cargo UltraGrip 2,1946,195/65 R16C 104/102T (С€РёРї),Goodyear Cargo UltraGrip 2 195/65 R16C 104/102T (С€РёРї),Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р·РёРјРЅСЏСЏ,Р·РёРјРѕРІР°,2,195,65,16,104/102,104(900РєРі)/102(850РєРі),T,T(190РєРј/С‡Р°СЃ),Р¤СЂР°РЅС†РёСЏ,Р¤СЂР°РЅС†С–СЏ,2020,C,С€РёРї,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,4,4525,4525.00,uah,5084,4525,7223,0,7223,1,tyre/1946.400x400.jpg,tyre/1946.400x400.jpg,РЁРёРЅС‹,1956516
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,319446,319446,1000319446,Goodyear,1387,Cargo UltraGrip 2,1946,215/65 R15C 104/102T (С€РёРї),Goodyear Cargo UltraGrip 2 215/65 R15C 104/102T (С€РёРї),Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р·РёРјРЅСЏСЏ,Р·РёРјРѕРІР°,2,215,65,15,104/102,104(900РєРі)/102(850РєРі),T,T(190РєРј/С‡Р°СЃ),РўСѓСЂС†РёСЏ,РўСѓСЂРµС‡С‡РёРЅР°,2021,C,С€РёРї,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,8,5441,5441.00,uah,6113,5441,8734,0,8734,1,tyre/1946.400x400.jpg,tyre/1946.400x400.jpg,РЁРёРЅС‹,2156515
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,334615,334615,1000334615,Goodyear,1387,Cargo UltraGrip 2,1946,215/75 R16C 113/111R (С€РёРї),Goodyear Cargo UltraGrip 2 215/75 R16C 113/111R (С€РёРї),Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р·РёРјРЅСЏСЏ,Р·РёРјРѕРІР°,2,215,75,16,113/111,113(1150РєРі)/111(1090РєРі),R,R(170РєРј/С‡Р°СЃ),Р¤СЂР°РЅС†РёСЏ,Р¤СЂР°РЅС†С–СЏ,2022,C,С€РёРї,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,6,5250,5250.00,uah,5898,5250,8333,0,8333,1,tyre/1946.400x400.jpg,tyre/1946.400x400.jpg,РЁРёРЅС‹,2157516
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,391883,391883,1000391883,Goodyear,1387,Duramax Gen-2,12384,195/70 R15C 104/102S,Goodyear Duramax Gen-2 195/70 R15C 104/102S,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,195,70,15,104/102,104(900РєРі)/102(850РєРі),S,S(180РєРј/С‡Р°СЃ),,,2021,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,4,2950,2950.00,uah,3314,2950,4873,0,4873,1,tyre/12384.400x400.jpg,tyre/12384.400x400.jpg,РЁРёРЅС‹,1957015
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,321581,321581,1000321581,Goodyear,1387,EfficientGrip Cargo,1982,195/60 R16C 99/97H,Goodyear EfficientGrip Cargo 195/60 R16C 99/97H,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,195,60,16,99/97,99(775РєРі)/97(730РєРі),H,H(210РєРј/С‡Р°СЃ),РўСѓСЂС†РёСЏ,РўСѓСЂРµС‡С‡РёРЅР°,2019,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,1,2150,2150.00,uah,2416,2150,3590,0,3590,1,tyre/1982.400x400.jpg,tyre/1982.400x400.jpg,РЁРёРЅС‹,1956016
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,381099,381099,1000381099,Goodyear,1387,EfficientGrip Cargo 2,11647,195/60 R16C 99/97H,Goodyear EfficientGrip Cargo 2 195/60 R16C 99/97H,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,195,60,16,99/97,99(775РєРі)/97(730РєРі),H,H(210РєРј/С‡Р°СЃ),РўСѓСЂС†РёСЏ,РўСѓСЂРµС‡С‡РёРЅР°,2021,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,4,3850,3850.00,uah,4325,3850,6191,0,6191,1,tyre/11647.400x400.jpg,tyre/11647.400x400.jpg,РЁРёРЅС‹,1956016
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,389693,389693,1000389693,Goodyear,1387,EfficientGrip Cargo 2,11647,195/65 R16C 104/102T,Goodyear EfficientGrip Cargo 2 195/65 R16C 104/102T,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,195,65,16,104/102,104(900РєРі)/102(850РєРі),T,T(190РєРј/С‡Р°СЃ),РўСѓСЂС†РёСЏ,РўСѓСЂРµС‡С‡РёРЅР°,2022,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,4,3595,3595.00,uah,4039,3595,5800,0,5800,1,tyre/11647.400x400.jpg,tyre/11647.400x400.jpg,РЁРёРЅС‹,1956516
